Yr1996,Yr1997,Yr1998,Yr1999,Yr2000,Yr2001,Yr2002,Yr2003,Yr2004,Yr2005,Yr2006,Yr2007,Yr2008,Yr2009,Yr2010,Yr2011,Yr2012,,
"55,478","59,525","61,171","65,184","69,379","76,596","91,877","109,684","128,030","137,384","145,052","147,546","143,261","141,051","143,191","139,598","138,686",,
"50,567","53,431","54,737","59,772","61,368","69,079","80,823","96,969","116,031","126,881","134,058","138,322","136,492","130,760","125,858","128,498","132,484",,
"72,588","79,389","84,795","94,427","106,710","119,633","138,643","163,247","185,131","191,424","201,253","213,510","208,743","195,317","211,926","206,293","204,824",,
"90,889","93,194","103,631","121,415","133,460","141,489","163,425","190,303","210,751","217,232","229,642","237,599","246,069","222,478","241,076","237,408","237,248",,
"79,811","91,874","101,109","110,261","127,448","141,075","180,948","200,154","224,409","231,435","252,781","266,234","246,376","231,904","250,493","242,412","234,518",,
"61,831","68,485","71,871","78,945","89,710","98,770","111,643","133,298","152,756","153,518","162,516","169,867","162,604","153,707","165,790","158,528","165,973",,
"58,894","63,039","68,822","76,034","89,091","100,478","119,501","141,162","159,671","166,024","176,780","188,401","176,947","165,698","176,289","176,872","178,456",,
"81,628","91,587","97,324","107,950","124,774","139,076","155,759","186,663","213,797","223,569","231,525","250,211","248,808","221,355","249,645","239,980","233,164",,
"61,132","67,101","71,793","79,434","84,653","99,980","114,030","138,983","159,203","166,349","172,606","182,808","179,246","164,762","176,307","172,293","170,614",,
"66,567","72,424","80,970","91,116","102,557","115,996","133,630","155,380","172,233","180,287","192,086","207,555","206,031","194,015","218,045","212,408","213,658",,
0,0,0,0,0,0,0,0,0,0,0,0,"218,843","206,136","223,526","219,350","224,178",,
"48,786","53,313","57,448","63,909","75,403","86,705","104,744","128,944","143,058","147,667","156,363","166,540","166,833","153,402","160,361","161,221","161,248",,
"52,156","55,071","57,799","63,777","69,626","79,397","98,549","115,961","135,312","141,326","154,095","163,401","160,092","147,764","155,751","153,376","153,297",,
"55,104","64,706","68,475","76,698","85,795","99,475","121,285","149,229","165,846","175,319","185,533","203,898","197,069","192,658","211,140","208,538","214,191",,
"55,201","62,960","70,183","76,415","82,382","98,535","125,529","148,816","162,213","173,404","177,375","185,127","188,222","176,472","181,786","182,722","180,974",,
"73,572","81,030","88,271","97,246","114,034","128,453","148,709","173,024","187,318","201,003","213,402","227,680","228,818","217,584","239,143","235,509","236,631",,
"88,864","101,020","110,792","122,434","152,741","175,984","198,713","223,624","231,512","246,976","271,198","297,835","286,811","286,437","321,189","317,927","328,298",,
"67,590","76,345","84,365","93,843","111,973","129,134","149,271","170,706","182,394","198,899","200,401","215,760","214,786","197,212","215,673","212,485","212,177",,
"45,678","49,552","53,128","58,329","65,339","73,980","96,029","118,238","133,567","142,895","146,825","153,684","152,132","140,460","144,202","144,786","141,349",,
"67,878","72,796","80,809","89,803","100,942","113,478","132,360","159,601","171,994","185,294","196,070","208,275","208,790","194,220","209,246","200,115","205,979",,
"91,755","101,505","115,587","124,238","147,643","167,624","193,400","210,514","233,385","235,105","258,990","278,654","273,877","256,066","275,086","284,411","283,493",,
"75,319","81,982","91,137","100,364","116,740","131,801","159,327","184,960","202,812","212,094","224,038","238,311","236,656","223,668","247,062","243,681","244,736",,
"70,344","75,923","83,640","90,574","109,314","115,322","137,977","162,861","178,129","189,395","198,187","212,899","212,127","206,054","225,478","219,266","221,378",,
"70,686","75,844","84,886","93,406","110,129","121,224","150,891","174,486","190,854","196,557","205,484","222,930","224,196","198,758","221,633","220,393","218,288",,
"106,303","119,189","127,906","147,992","168,641","192,251","222,789","256,286","274,022","292,001","315,786","328,266","318,215","321,959","347,749","349,772","345,403",,
"64,673","71,657","78,151","86,686","100,998","116,146","140,855","169,208","182,669","193,557","201,853","216,586","214,040","199,800","215,094","209,238","209,133",,
"73,183","83,177","93,136","104,077","117,354","137,384","170,755","199,824","213,606","220,839","233,003","253,957","243,438","243,913","260,003","252,586","256,452",,
"65,926","71,651","79,315","86,528","100,794","114,956","138,632","159,192","181,076","188,737","194,886","205,812","195,200","191,658","205,822","203,161","208,174",,
"108,957","116,773","135,907","152,645","175,589","199,148","230,110","265,486","279,591","291,630","313,870","338,477","351,044","318,145","351,785","359,358","351,555",,
